Transcript Chunk,Comment
Im quoting it kinds of fires me up now that is D gukesh for you he is obviously an extraordinary talent but hes practically immovable as well because he doesnt just have the skills he has the composure he has the mental stamina the mental fortitude to handle pressure we know that gkes has a mental conditioning coach who calls The Grandmaster deeply self-aware,india now become 6 times world :trophy::trophy::trophy::trophy::trophy::trophy: 5 times vishwanathan anand 1 times gukesh d legacy of vishwanath anand continuation is just started
Im quoting it kinds of fires me up now that is D gukesh for you he is obviously an extraordinary talent but hes practically immovable as well because he doesnt just have the skills he has the composure he has the mental stamina the mental fortitude to handle pressure we know that gkes has a mental conditioning coach who calls The Grandmaster deeply self-aware,:flexedbiceps::flexedbiceps::flexedbiceps::flexedbiceps::flexedbiceps::flexedbiceps::flexedbiceps::flexedbiceps::flexedbiceps: congratulations gukesh you are the best jai sri ram :om::foldedhands::india: jai hind
Im quoting it kinds of fires me up now that is D gukesh for you he is obviously an extraordinary talent but hes practically immovable as well because he doesnt just have the skills he has the composure he has the mental stamina the mental fortitude to handle pressure we know that gkes has a mental conditioning coach who calls The Grandmaster deeply self-aware,congratulations you made us proud bharat is reclaiming its heritage
Im quoting it kinds of fires me up now that is D gukesh for you he is obviously an extraordinary talent but hes practically immovable as well because he doesnt just have the skills he has the composure he has the mental stamina the mental fortitude to handle pressure we know that gkes has a mental conditioning coach who calls The Grandmaster deeply self-aware,so proud of gukesh the champion guki :trophy::partypopper:
Im quoting it kinds of fires me up now that is D gukesh for you he is obviously an extraordinary talent but hes practically immovable as well because he doesnt just have the skills he has the composure he has the mental stamina the mental fortitude to handle pressure we know that gkes has a mental conditioning coach who calls The Grandmaster deeply self-aware,adding more context to magnuss criticism carlsen wasnt disappointed when gukesh won championship the line said by carlsen its hard to understate how bad gukesh played was said in a recap at taketaketake after the game 1 when gukesh lost to which gukesh replied that it was his first wcc game and he was very nervous just like magnus was magnus really liked gukeshs reponse and replied later in a video what an excellent and mature response by gukesh source:
Im quoting it kinds of fires me up now that is D gukesh for you he is obviously an extraordinary talent but hes practically immovable as well because he doesnt just have the skills he has the composure he has the mental stamina the mental fortitude to handle pressure we know that gkes has a mental conditioning coach who calls The Grandmaster deeply self-aware,gukesh already semilegendary winning the candidates tournament at 17 years old is no joke especially when it had three 2800 elo players in it youngest world chess champion ever and probably the best active chess player on earth right now
Im quoting it kinds of fires me up now that is D gukesh for you he is obviously an extraordinary talent but hes practically immovable as well because he doesnt just have the skills he has the composure he has the mental stamina the mental fortitude to handle pressure we know that gkes has a mental conditioning coach who calls The Grandmaster deeply self-aware,correction needed at 0:32 ding liren became world champion at 32 years of age not 22
pressure we know that gkes has a mental conditioning coach who calls The Grandmaster deeply self-aware and we witnessed this quality in Singapore not just during the game but before it as well when both players were asked to select a playing chair they had seven different options ding chose a simple office chair while the ever humble G chose this outof character dominant,0:10 smile at palkis face when she was talking about gukesh tells how much she felt proud about him
pressure we know that gkes has a mental conditioning coach who calls The Grandmaster deeply self-aware and we witnessed this quality in Singapore not just during the game but before it as well when both players were asked to select a playing chair they had seven different options ding chose a simple office chair while the ever humble G chose this outof character dominant,excellent win for a young man congratulations gukesh and in inspiration
pressure we know that gkes has a mental conditioning coach who calls The Grandmaster deeply self-aware and we witnessed this quality in Singapore not just during the game but before it as well when both players were asked to select a playing chair they had seven different options ding chose a simple office chair while the ever humble G chose this outof character dominant,2:40 carlsen only critized one game and not the entire match which gukesh himself acknowledged later on carlsen said that he was proud of gukesh and gukesh is quite mature for an 18 year old as a fellow indian please dont set false narratives
pressure we know that gkes has a mental conditioning coach who calls The Grandmaster deeply self-aware and we witnessed this quality in Singapore not just during the game but before it as well when both players were asked to select a playing chair they had seven different options ding chose a simple office chair while the ever humble G chose this outof character dominant,proud moment for india :india: hearty congratulations to gukesh dommaraju from chennai tamil nadu now to become the youngest world chess champion fide 2024 at the age of just 18 you made our country so proud man :partypopper::partypopper::partypopper:
pressure we know that gkes has a mental conditioning coach who calls The Grandmaster deeply self-aware and we witnessed this quality in Singapore not just during the game but before it as well when both players were asked to select a playing chair they had seven different options ding chose a simple office chair while the ever humble G chose this outof character dominant,please correct this error at 0:30 ding didnt held the previous record of the youngest world chess champion it was garry kasparov who became a wc at the age of 22
pressure we know that gkes has a mental conditioning coach who calls The Grandmaster deeply self-aware and we witnessed this quality in Singapore not just during the game but before it as well when both players were asked to select a playing chair they had seven different options ding chose a simple office chair while the ever humble G chose this outof character dominant,honestly man gukesh has made everyone proud very happy no words speechlessgukesh just won the world championship 2024 overwhelmed happy and proud to know that from today gukesh is the official world chess champion congrats to gukesh and india to bring back the world championship shoutout from mauritius very happy
pressure we know that gkes has a mental conditioning coach who calls The Grandmaster deeply self-aware and we witnessed this quality in Singapore not just during the game but before it as well when both players were asked to select a playing chair they had seven different options ding chose a simple office chair while the ever humble G chose this outof character dominant,congratulations to gukesh the youngest world champion in history
pressure we know that gkes has a mental conditioning coach who calls The Grandmaster deeply self-aware and we witnessed this quality in Singapore not just during the game but before it as well when both players were asked to select a playing chair they had seven different options ding chose a simple office chair while the ever humble G chose this outof character dominant,congratulations gukesh
pressure we know that gkes has a mental conditioning coach who calls The Grandmaster deeply self-aware and we witnessed this quality in Singapore not just during the game but before it as well when both players were asked to select a playing chair they had seven different options ding chose a simple office chair while the ever humble G chose this outof character dominant,congratulations gukesh a marvelous achievement
pressure we know that gkes has a mental conditioning coach who calls The Grandmaster deeply self-aware and we witnessed this quality in Singapore not just during the game but before it as well when both players were asked to select a playing chair they had seven different options ding chose a simple office chair while the ever humble G chose this outof character dominant,his parents have a very big role in his victory they invested so much in gukesh their time money because they believe in the talent of their product yeah its full on max support from them and its fully fully worth it you see their son scripted a new record so many parents have such genius kids invest in them hone them on the right path they can bring wonders
pressure we know that gkes has a mental conditioning coach who calls The Grandmaster deeply self-aware and we witnessed this quality in Singapore not just during the game but before it as well when both players were asked to select a playing chair they had seven different options ding chose a simple office chair while the ever humble G chose this outof character dominant,congrats gukesh :india:
pressure we know that gkes has a mental conditioning coach who calls The Grandmaster deeply self-aware and we witnessed this quality in Singapore not just during the game but before it as well when both players were asked to select a playing chair they had seven different options ding chose a simple office chair while the ever humble G chose this outof character dominant,iterally man this means a lot emotions are overflowing speechless no words but very happy cheers to gukesh
pressure we know that gkes has a mental conditioning coach who calls The Grandmaster deeply self-aware and we witnessed this quality in Singapore not just during the game but before it as well when both players were asked to select a playing chair they had seven different options ding chose a simple office chair while the ever humble G chose this outof character dominant,made us proud big brains congratulations
pressure we know that gkes has a mental conditioning coach who calls The Grandmaster deeply self-aware and we witnessed this quality in Singapore not just during the game but before it as well when both players were asked to select a playing chair they had seven different options ding chose a simple office chair while the ever humble G chose this outof character dominant,india now become 6 times world :trophy::trophy::trophy::trophy::trophy::trophy: 5 times vishwanathan anand 1 times gukesh d legacy of vishwanath anand continuation is just started
pressure we know that gkes has a mental conditioning coach who calls The Grandmaster deeply self-aware and we witnessed this quality in Singapore not just during the game but before it as well when both players were asked to select a playing chair they had seven different options ding chose a simple office chair while the ever humble G chose this outof character dominant,:flexedbiceps::flexedbiceps::flexedbiceps::flexedbiceps::flexedbiceps::flexedbiceps::flexedbiceps::flexedbiceps::flexedbiceps: congratulations gukesh you are the best jai sri ram :om::foldedhands::india: jai hind
pressure we know that gkes has a mental conditioning coach who calls The Grandmaster deeply self-aware and we witnessed this quality in Singapore not just during the game but before it as well when both players were asked to select a playing chair they had seven different options ding chose a simple office chair while the ever humble G chose this outof character dominant,congratulations you made us proud bharat is reclaiming its heritage
pressure we know that gkes has a mental conditioning coach who calls The Grandmaster deeply self-aware and we witnessed this quality in Singapore not just during the game but before it as well when both players were asked to select a playing chair they had seven different options ding chose a simple office chair while the ever humble G chose this outof character dominant,so proud of gukesh the champion guki :trophy::partypopper:
pressure we know that gkes has a mental conditioning coach who calls The Grandmaster deeply self-aware and we witnessed this quality in Singapore not just during the game but before it as well when both players were asked to select a playing chair they had seven different options ding chose a simple office chair while the ever humble G chose this outof character dominant,adding more context to magnuss criticism carlsen wasnt disappointed when gukesh won championship the line said by carlsen its hard to understate how bad gukesh played was said in a recap at taketaketake after the game 1 when gukesh lost to which gukesh replied that it was his first wcc game and he was very nervous just like magnus was magnus really liked gukeshs reponse and replied later in a video what an excellent and mature response by gukesh source:
pressure we know that gkes has a mental conditioning coach who calls The Grandmaster deeply self-aware and we witnessed this quality in Singapore not just during the game but before it as well when both players were asked to select a playing chair they had seven different options ding chose a simple office chair while the ever humble G chose this outof character dominant,gukesh already semilegendary winning the candidates tournament at 17 years old is no joke especially when it had three 2800 elo players in it youngest world chess champion ever and probably the best active chess player on earth right now
pressure we know that gkes has a mental conditioning coach who calls The Grandmaster deeply self-aware and we witnessed this quality in Singapore not just during the game but before it as well when both players were asked to select a playing chair they had seven different options ding chose a simple office chair while the ever humble G chose this outof character dominant,correction needed at 0:32 ding liren became world champion at 32 years of age not 22
ding chose a simple office chair while the ever humble G chose this outof character dominant gaming chair it shows you his mindset all the grand Masters are already winners in their own accord but what differentiates gkes is his mental strength it has helped him stand at the Apex of a robust Chess World he wants to have and Im quoting a very,0:10 smile at palkis face when she was talking about gukesh tells how much she felt proud about him
ding chose a simple office chair while the ever humble G chose this outof character dominant gaming chair it shows you his mindset all the grand Masters are already winners in their own accord but what differentiates gkes is his mental strength it has helped him stand at the Apex of a robust Chess World he wants to have and Im quoting a very,excellent win for a young man congratulations gukesh and in inspiration
ding chose a simple office chair while the ever humble G chose this outof character dominant gaming chair it shows you his mindset all the grand Masters are already winners in their own accord but what differentiates gkes is his mental strength it has helped him stand at the Apex of a robust Chess World he wants to have and Im quoting a very,2:40 carlsen only critized one game and not the entire match which gukesh himself acknowledged later on carlsen said that he was proud of gukesh and gukesh is quite mature for an 18 year old as a fellow indian please dont set false narratives
ding chose a simple office chair while the ever humble G chose this outof character dominant gaming chair it shows you his mindset all the grand Masters are already winners in their own accord but what differentiates gkes is his mental strength it has helped him stand at the Apex of a robust Chess World he wants to have and Im quoting a very,proud moment for india :india: hearty congratulations to gukesh dommaraju from chennai tamil nadu now to become the youngest world chess champion fide 2024 at the age of just 18 you made our country so proud man :partypopper::partypopper::partypopper:
ding chose a simple office chair while the ever humble G chose this outof character dominant gaming chair it shows you his mindset all the grand Masters are already winners in their own accord but what differentiates gkes is his mental strength it has helped him stand at the Apex of a robust Chess World he wants to have and Im quoting a very,please correct this error at 0:30 ding didnt held the previous record of the youngest world chess champion it was garry kasparov who became a wc at the age of 22
ding chose a simple office chair while the ever humble G chose this outof character dominant gaming chair it shows you his mindset all the grand Masters are already winners in their own accord but what differentiates gkes is his mental strength it has helped him stand at the Apex of a robust Chess World he wants to have and Im quoting a very,honestly man gukesh has made everyone proud very happy no words speechlessgukesh just won the world championship 2024 overwhelmed happy and proud to know that from today gukesh is the official world chess champion congrats to gukesh and india to bring back the world championship shoutout from mauritius very happy
ding chose a simple office chair while the ever humble G chose this outof character dominant gaming chair it shows you his mindset all the grand Masters are already winners in their own accord but what differentiates gkes is his mental strength it has helped him stand at the Apex of a robust Chess World he wants to have and Im quoting a very,congratulations to gukesh the youngest world champion in history
ding chose a simple office chair while the ever humble G chose this outof character dominant gaming chair it shows you his mindset all the grand Masters are already winners in their own accord but what differentiates gkes is his mental strength it has helped him stand at the Apex of a robust Chess World he wants to have and Im quoting a very,congratulations gukesh
ding chose a simple office chair while the ever humble G chose this outof character dominant gaming chair it shows you his mindset all the grand Masters are already winners in their own accord but what differentiates gkes is his mental strength it has helped him stand at the Apex of a robust Chess World he wants to have and Im quoting a very,congratulations gukesh a marvelous achievement
ding chose a simple office chair while the ever humble G chose this outof character dominant gaming chair it shows you his mindset all the grand Masters are already winners in their own accord but what differentiates gkes is his mental strength it has helped him stand at the Apex of a robust Chess World he wants to have and Im quoting a very,his parents have a very big role in his victory they invested so much in gukesh their time money because they believe in the talent of their product yeah its full on max support from them and its fully fully worth it you see their son scripted a new record so many parents have such genius kids invest in them hone them on the right path they can bring wonders
ding chose a simple office chair while the ever humble G chose this outof character dominant gaming chair it shows you his mindset all the grand Masters are already winners in their own accord but what differentiates gkes is his mental strength it has helped him stand at the Apex of a robust Chess World he wants to have and Im quoting a very,congrats gukesh :india:
ding chose a simple office chair while the ever humble G chose this outof character dominant gaming chair it shows you his mindset all the grand Masters are already winners in their own accord but what differentiates gkes is his mental strength it has helped him stand at the Apex of a robust Chess World he wants to have and Im quoting a very,iterally man this means a lot emotions are overflowing speechless no words but very happy cheers to gukesh
ding chose a simple office chair while the ever humble G chose this outof character dominant gaming chair it shows you his mindset all the grand Masters are already winners in their own accord but what differentiates gkes is his mental strength it has helped him stand at the Apex of a robust Chess World he wants to have and Im quoting a very,made us proud big brains congratulations
ding chose a simple office chair while the ever humble G chose this outof character dominant gaming chair it shows you his mindset all the grand Masters are already winners in their own accord but what differentiates gkes is his mental strength it has helped him stand at the Apex of a robust Chess World he wants to have and Im quoting a very,india now become 6 times world :trophy::trophy::trophy::trophy::trophy::trophy: 5 times vishwanathan anand 1 times gukesh d legacy of vishwanath anand continuation is just started
ding chose a simple office chair while the ever humble G chose this outof character dominant gaming chair it shows you his mindset all the grand Masters are already winners in their own accord but what differentiates gkes is his mental strength it has helped him stand at the Apex of a robust Chess World he wants to have and Im quoting a very,:flexedbiceps::flexedbiceps::flexedbiceps::flexedbiceps::flexedbiceps::flexedbiceps::flexedbiceps::flexedbiceps::flexedbiceps: congratulations gukesh you are the best jai sri ram :om::foldedhands::india: jai hind
ding chose a simple office chair while the ever humble G chose this outof character dominant gaming chair it shows you his mindset all the grand Masters are already winners in their own accord but what differentiates gkes is his mental strength it has helped him stand at the Apex of a robust Chess World he wants to have and Im quoting a very,congratulations you made us proud bharat is reclaiming its heritage
ding chose a simple office chair while the ever humble G chose this outof character dominant gaming chair it shows you his mindset all the grand Masters are already winners in their own accord but what differentiates gkes is his mental strength it has helped him stand at the Apex of a robust Chess World he wants to have and Im quoting a very,so proud of gukesh the champion guki :trophy::partypopper:
ding chose a simple office chair while the ever humble G chose this outof character dominant gaming chair it shows you his mindset all the grand Masters are already winners in their own accord but what differentiates gkes is his mental strength it has helped him stand at the Apex of a robust Chess World he wants to have and Im quoting a very,adding more context to magnuss criticism carlsen wasnt disappointed when gukesh won championship the line said by carlsen its hard to understate how bad gukesh played was said in a recap at taketaketake after the game 1 when gukesh lost to which gukesh replied that it was his first wcc game and he was very nervous just like magnus was magnus really liked gukeshs reponse and replied later in a video what an excellent and mature response by gukesh source:
ding chose a simple office chair while the ever humble G chose this outof character dominant gaming chair it shows you his mindset all the grand Masters are already winners in their own accord but what differentiates gkes is his mental strength it has helped him stand at the Apex of a robust Chess World he wants to have and Im quoting a very,gukesh already semilegendary winning the candidates tournament at 17 years old is no joke especially when it had three 2800 elo players in it youngest world chess champion ever and probably the best active chess player on earth right now
ding chose a simple office chair while the ever humble G chose this outof character dominant gaming chair it shows you his mindset all the grand Masters are already winners in their own accord but what differentiates gkes is his mental strength it has helped him stand at the Apex of a robust Chess World he wants to have and Im quoting a very,correction needed at 0:32 ding liren became world champion at 32 years of age not 22
the Apex of a robust Chess World he wants to have and Im quoting a very long career to the top at the top rather and by the looks of it he will you wish him all the best e,0:10 smile at palkis face when she was talking about gukesh tells how much she felt proud about him
the Apex of a robust Chess World he wants to have and Im quoting a very long career to the top at the top rather and by the looks of it he will you wish him all the best e,excellent win for a young man congratulations gukesh and in inspiration
the Apex of a robust Chess World he wants to have and Im quoting a very long career to the top at the top rather and by the looks of it he will you wish him all the best e,2:40 carlsen only critized one game and not the entire match which gukesh himself acknowledged later on carlsen said that he was proud of gukesh and gukesh is quite mature for an 18 year old as a fellow indian please dont set false narratives
the Apex of a robust Chess World he wants to have and Im quoting a very long career to the top at the top rather and by the looks of it he will you wish him all the best e,proud moment for india :india: hearty congratulations to gukesh dommaraju from chennai tamil nadu now to become the youngest world chess champion fide 2024 at the age of just 18 you made our country so proud man :partypopper::partypopper::partypopper:
the Apex of a robust Chess World he wants to have and Im quoting a very long career to the top at the top rather and by the looks of it he will you wish him all the best e,please correct this error at 0:30 ding didnt held the previous record of the youngest world chess champion it was garry kasparov who became a wc at the age of 22
the Apex of a robust Chess World he wants to have and Im quoting a very long career to the top at the top rather and by the looks of it he will you wish him all the best e,honestly man gukesh has made everyone proud very happy no words speechlessgukesh just won the world championship 2024 overwhelmed happy and proud to know that from today gukesh is the official world chess champion congrats to gukesh and india to bring back the world championship shoutout from mauritius very happy
the Apex of a robust Chess World he wants to have and Im quoting a very long career to the top at the top rather and by the looks of it he will you wish him all the best e,congratulations to gukesh the youngest world champion in history
the Apex of a robust Chess World he wants to have and Im quoting a very long career to the top at the top rather and by the looks of it he will you wish him all the best e,congratulations gukesh
the Apex of a robust Chess World he wants to have and Im quoting a very long career to the top at the top rather and by the looks of it he will you wish him all the best e,congratulations gukesh a marvelous achievement
the Apex of a robust Chess World he wants to have and Im quoting a very long career to the top at the top rather and by the looks of it he will you wish him all the best e,his parents have a very big role in his victory they invested so much in gukesh their time money because they believe in the talent of their product yeah its full on max support from them and its fully fully worth it you see their son scripted a new record so many parents have such genius kids invest in them hone them on the right path they can bring wonders
the Apex of a robust Chess World he wants to have and Im quoting a very long career to the top at the top rather and by the looks of it he will you wish him all the best e,congrats gukesh :india:
the Apex of a robust Chess World he wants to have and Im quoting a very long career to the top at the top rather and by the looks of it he will you wish him all the best e,iterally man this means a lot emotions are overflowing speechless no words but very happy cheers to gukesh
the Apex of a robust Chess World he wants to have and Im quoting a very long career to the top at the top rather and by the looks of it he will you wish him all the best e,made us proud big brains congratulations
the Apex of a robust Chess World he wants to have and Im quoting a very long career to the top at the top rather and by the looks of it he will you wish him all the best e,india now become 6 times world :trophy::trophy::trophy::trophy::trophy::trophy: 5 times vishwanathan anand 1 times gukesh d legacy of vishwanath anand continuation is just started
the Apex of a robust Chess World he wants to have and Im quoting a very long career to the top at the top rather and by the looks of it he will you wish him all the best e,:flexedbiceps::flexedbiceps::flexedbiceps::flexedbiceps::flexedbiceps::flexedbiceps::flexedbiceps::flexedbiceps::flexedbiceps: congratulations gukesh you are the best jai sri ram :om::foldedhands::india: jai hind
the Apex of a robust Chess World he wants to have and Im quoting a very long career to the top at the top rather and by the looks of it he will you wish him all the best e,congratulations you made us proud bharat is reclaiming its heritage
the Apex of a robust Chess World he wants to have and Im quoting a very long career to the top at the top rather and by the looks of it he will you wish him all the best e,so proud of gukesh the champion guki :trophy::partypopper:
the Apex of a robust Chess World he wants to have and Im quoting a very long career to the top at the top rather and by the looks of it he will you wish him all the best e,adding more context to magnuss criticism carlsen wasnt disappointed when gukesh won championship the line said by carlsen its hard to understate how bad gukesh played was said in a recap at taketaketake after the game 1 when gukesh lost to which gukesh replied that it was his first wcc game and he was very nervous just like magnus was magnus really liked gukeshs reponse and replied later in a video what an excellent and mature response by gukesh source:
the Apex of a robust Chess World he wants to have and Im quoting a very long career to the top at the top rather and by the looks of it he will you wish him all the best e,gukesh already semilegendary winning the candidates tournament at 17 years old is no joke especially when it had three 2800 elo players in it youngest world chess champion ever and probably the best active chess player on earth right now
the Apex of a robust Chess World he wants to have and Im quoting a very long career to the top at the top rather and by the looks of it he will you wish him all the best e,correction needed at 0:32 ding liren became world champion at 32 years of age not 22
